Dia,Mes,Año,Magnitud,Latitud,Longitud,Profundidad,Estado,Clase,Gravedad,Gravedad_Cod
30,5,2023,3.6,16.3238,-98.2953,4.8,OAX,Sismos,Baja,1
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
11,7,2020,4.5,17.6117,-101.351,25.1,GRO,Sismos,Alta,0
18,1,2021,4.7,17.2583,-101.078,11.0,GRO,Sismos,Muy Alta,3
10,5,2023,4.0,18.0955,-103.271,11.3,MICH,Sismos,Alta,0
2,2,2022,4.5,14.2992,-93.9268,19.4,CHIS,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
4,7,2018,3.5,16.2412,-98.0632,6.8,OAX,Sismos,Baja,1
4,12,2018,4.0,15.5058,-96.1675,9.6,OAX,Sismos,Alta,0
5,4,2018,4.6,16.395,-95.1303,105.1,OAX,Sismos,Muy Alta,3
1,12,2022,3.5,30.5022,-116.306,7.3,BC,Sismos,Baja,1
11,5,2022,3.6,17.791,-101.402,51.9,GRO,Sismos,Baja,1
18,3,2020,3.7,20.5398,-106.171,21.1,JAL,Sismos,Media,2
1,1,2024,3.8,16.47,-95.04,5.0,OAX,Sismos,Media,2
22,7,2022,3.5,15.7335,-93.8042,90.7,CHIS,Sismos,Baja,1
9,2,2024,3.7,16.74,-95.13,104.7,OAX,Sismos,Media,2
25,3,2024,3.8,26.12,-99.87,5.0,NL,Sismos,Media,2
8,2,2019,4.1,15.8282,-94.4035,79.8,CHIS,Sismos,Alta,0
30,3,2024,4.1,16.05,-98.89,5.0,GRO,Sismos,Alta,0
22,7,2022,4.1,29.4918,-113.706,10.0,BCS,Sismos,Alta,0
26,7,2020,4.2,15.3065,-96.245,21.2,OAX,Sismos,Alta,0
30,3,2023,3.5,18.053,-99.7873,5.0,GRO,Sismos,Baja,1
5,3,2020,4.0,17.5102,-95.6078,35.1,VER,Sismos,Alta,0
23,6,2019,3.7,14.3532,-93.0577,5.1,CHIS,Sismos,Media,2
23,5,2020,4.0,17.0237,-95.6842,61.9,OAX,Sismos,Alta,0
12,11,2019,3.7,16.9758,-99.8735,5.0,GRO,Sismos,Media,2
10,1,2024,3.6,16.9,-94.29,132.4,CHIS,Sismos,Baja,1
8,8,2018,3.5,16.2218,-97.5772,15.8,OAX,Sismos,Baja,1
9,1,2023,3.5,31.3532,-115.632,15.0,BC,Sismos,Baja,1
8,9,2017,4.1,15.477,-94.8713,30.9,OAX,Sismos,Alta,0
