Magnitud,Latitud,Longitud,Profundidad,Gravedad
3.5,16.58,-95.87,77.0,Baja
4.0,14.4775,-94.4327,16.1,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,14.8067,-92.0102,101.3,Baja
3.5,14.65,-93.47,10.0,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,15.5295,-93.8468,28.0,Media
3.6,16.0903,-97.6438,5.1,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.5,15.0683,-92.62,100.0,Baja
3.8,16.8393,-100.271,6.5,Media
3.8,16.4868,-98.4482,29.6,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.6,16.9868,-95.7937,2.7,Baja
3.9,17.2995,-94.3697,145.6,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,15.763,-94.8255,18.1,Alta
3.9,15.1692,-94.8957,16.1,Media
3.7,15.1252,-94.3365,16.4,Media
3.7,30.7703,-114.088,10.0,Media
4.2,15.0907,-96.8068,10.2,Alta
3.5,30.31,-115.88,18.8,Baja
3.6,18.111,-99.5918,5.0,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.0,15.2947,-94.3308,11.2,Alta
4.0,15.0523,-95.1097,15.4,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,16.8822,-93.9312,150.3,Media
3.6,16.3238,-98.2953,4.8,Baja
4.2,15.1042,-93.862,34.8,Alta
3.8,15.7257,-92.6892,178.0,Media
3.6,16.4102,-95.2512,87.3,Baja
3.7,18.24,-94.4,15.2,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,17.5102,-95.6078,35.1,Alta
4.2,14.4083,-93.0862,4.9,Alta
4.1,30.7488,-114.173,10.0,Alta
3.6,17.1888,-99.8487,38.7,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.7,15.0683,-94.2877,16.7,Media
3.5,15.5177,-95.0242,25.3,Baja
3.9,13.645,-92.9398,10.0,Media
3.8,31.5368,-114.355,15.6,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,17.0237,-95.6842,61.9,Alta
3.9,16.9965,-93.8875,153.9,Media
3.5,16.8268,-100.02,4.3,Baja
4.1,30.7488,-114.173,10.0,Alta
3.5,15.3585,-94.7408,18.7,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,16.9935,-95.849,29.5,Baja
3.5,16.58,-95.87,77.0,Baja
4.1,16.05,-98.89,5.0,Alta
3.9,16.3845,-95.1757,62.9,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,16.3247,-98.3042,6.2,Baja
3.9,16.3182,-97.9048,20.7,Media
3.6,17.2432,-94.5133,149.9,Baja
3.7,14.3532,-93.0577,5.1,Media
3.7,16.78,-93.82,157.3,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.0,15.5058,-96.1675,9.6,Alta
4.0,15.749,-96.2393,37.0,Alta
3.7,30.3603,-109.548,1.0,Media
3.5,19.202,-104.743,22.8,Baja
3.8,17.8438,-99.0955,53.6,Media
3.9,14.4137,-93.9095,5.0,Media
4.6,16.395,-95.1303,105.1,Muy Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.9,15.6028,-94.9858,53.7,Media
3.9,16.5518,-94.3755,109.5,Media
4.1,15.477,-94.8713,30.9,Alta
3.5,16.3247,-98.3042,6.2,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,15.0838,-93.7715,11.8,Baja
4.0,17.5102,-95.6078,35.1,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,31.3532,-115.632,15.0,Baja
4.2,15.4577,-96.571,16.8,Alta
3.5,31.84,-115.835,15.0,Baja
3.9,15.1995,-94.6375,16.6,Media
3.8,15.0485,-94.5632,18.3,Media
4.0,16.176,-97.5933,25.8,Alta
4.1,29.4918,-113.706,10.0,Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.6,16.1555,-94.6412,80.6,Baja
3.9,17.3253,-94.1063,10.0,Media
3.7,19.4772,-102.136,22.4,Media
3.8,16.121,-97.5443,6.9,Media
4.7,17.2583,-101.078,11.0,Muy Alta
4.6,16.395,-95.1303,105.1,Muy Alta
3.7,15.1705,-94.6565,16.1,Media
3.7,19.2287,-104.034,8.4,Media
3.6,16.2735,-98.0343,10.5,Baja
4.6,16.395,-95.1303,105.1,Muy Alta
4.2,15.3065,-96.245,21.2,Alta
3.5,16.7793,-94.8348,68.5,Baja
3.8,17.0948,-95.6218,52.6,Media
3.7,16.8102,-94.4767,129.6,Media
3.9,15.9983,-97.6508,16.2,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,18.3422,-102.757,66.2,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,18.06,-103.04,16.8,Media
3.9,16.015,-94.775,67.3,Media
4.1,15.0033,-95.651,17.8,Alta
3.5,30.5022,-116.306,7.3,Baja
3.5,16.8268,-100.02,4.3,Baja
3.6,18.4175,-100.922,41.4,Baja
3.7,17.0403,-93.9538,160.7,Media
3.5,15.7335,-93.8042,90.7,Baja
4.0,14.0523,-93.1165,10.0,Alta
4.7,17.2583,-101.078,11.0,Muy Alta
3.5,16.9538,-99.6943,30.1,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,17.086,-100.483,30.7,Media
3.6,16.2735,-98.0343,10.5,Baja
4.2,17.2007,-99.862,49.7,Alta
4.2,15.4577,-96.571,16.8,Alta
3.7,15.1825,-94.5633,16.5,Media
3.6,18.1327,-98.0903,52.9,Baja
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,15.29,-96.3235,13.0,Media
4.1,29.4918,-113.706,10.0,Alta
3.7,30.68,-114.29,4.3,Media
3.7,15.3773,-94.6032,36.0,Media
4.7,17.2583,-101.078,11.0,Muy Alta
3.8,15.3317,-92.8715,102.0,Media
4.1,29.4918,-113.706,10.0,Alta
